World Rank,National Rank,Name,Image URLs,Affiliation,Country,H-Index,Citations,#DBLP
18,12,Christopher D. Manning,https://s.research.com/images/6bf1bd191eacb6f0cc1a5c48f6f24991c3e00d3b-65x65.jpeg,Stanford University,United States,140,171999,386
19,13,Ian Foster,https://s.research.com/images/1869fa7947a907e297bab6c5da18d8dd2db330ce-65x65.jpeg,University of Chicago,United States,139,136560,714
20,14,Ion Stoica,https://s.research.com/images/7d692a71769f773d64ad2dbc09bb5f68309667a6-65x65.jpeg,University of California,Berkeley,139,128049,389
21,2,Bernhard Schölkopf,https://s.research.com/images/a9a59b6ad9d1f2303aef3da2ee9df65f7c1c3b15-65x65.jpeg,Max Planck Institute for Intelligent Systems,Germany,137,151308,630
22,2,Dacheng Tao,https://s.research.com/images/72330d26d0dcc91579ea36cf44d4e93f0e4383c6-65x65.jpeg,University of Sydney,Australia,137,66473,1022
23,15,Hector Garcia-Molina,https://s.research.com/images/3b94736f0a39f53e0bf755ebe9f2a51d555a88ed-65x65.jpeg,Stanford University,United States,137,84521,498
24,16,Christos Faloutsos,https://s.research.com/images/cd89b7cdff21ee23a945037fdd48b465e3d1c892-65x65.jpeg,Carnegie Mellon University,United States,136,86818,659
25,1,Luc Van Gool,https://s.research.com/images/5b783cfe660c94b8b39cf9d47ff4451f54844439-65x65.jpeg,ETH Zurich,Switzerland,134,131440,954
26,1,Xiaoou Tang,https://s.research.com/images/b9f11b569da0dde56ed75635ad3d9bad9a8cca28-65x65.jpeg,Chinese University of Hong Kong,China,134,112615,450
27,17,Leonidas J. Guibas,https://s.research.com/images/094d0678ee1b9500cf87999422a9419688ddf1e3-65x65.png,Stanford University,United States,132,83484,486
28,1,Cordelia Schmid,https://s.research.com/images/376a35467ca3339dc6095c7493cd08f356ac5b14-65x65.gif,French Institute for Research in Computer Science and Automation - INRIA,France,132,125734,335
29,18,Jay S. Walker,https://s.research.com/images/f96724542064c4d8b35920390a041e9d23025bd2-65x65.jpeg,Walker Digital (United States),United States,130,55868,276
30,19,Jack Dongarra,https://s.research.com/images/4fada8055591a36d58ea443b711a9a7672f0d4bd-65x65.png,University of Tennessee at Knoxville,United States,129,80868,1072
31,2,Lei Zhang,https://s.research.com/images/d7de280f6796c9634ee15e4eb2b1dde20c480452-65x65.jpeg,Hong Kong Polytechnic University,China,128,77250,784
32,20,Alex Pentland,https://s.research.com/images/e15f53d6c0050c85b4a7ece8c8abbad1db421331-65x65.jpeg,MIT,United States,128,115837,515
33,3,Bernt Schiele,https://s.research.com/images/41c1d9d732c58c3e5bac2edb9a5026e7ddea6cbf-65x65.jpeg,Max Planck Institute for Informatics,Germany,128,70339,397
34,3,Xiaogang Wang,https://s.research.com/images/56632c0c50be32e6c17523925403790b31aaae6f-65x65.jpeg,Chinese University of Hong Kong,China,127,72644,323
35,21,Ming-Hsuan Yang,https://s.research.com/images/a27dc5756edc8afd801ec289fdac3caa3a45560c-65x65.jpeg,University of California,Merced,126,86679,459
36,4,Hong-Jiang Zhang,https://s.research.com/images/86cd0138a90d04ce6f51eda7a6ed1d9441234abc-65x65.jpeg,ByteDance,China,126,62458,422
37,22,Don Towsley,https://s.research.com/images/e655608a69856b2319c27a1124f67b4be0ebec11-65x65.jpeg,University of Massachusetts Amherst,United States,125,64965,646
38,23,Rama Chellappa,https://s.research.com/images/8cb953a3db2085f54f8a47aef418684976790b6c-65x65.jpeg,Johns Hopkins University,United States,125,71317,825
39,24,Dawn Song,https://s.research.com/images/1fcccf5408e4997ddcbaa608c651be67d1c3d4eb-65x65.jpeg,University of California,Berkeley,125,74240,348
40,1,Shuicheng Yan,https://s.research.com/images/fe2b011dcfed8f46b631aed9fba7916dd2e88245-65x65.jpeg,National University of Singapore,Singapore,123,70267,662
41,25,Deborah Estrin,https://s.research.com/images/c003430f792bccdbeff1ca07e1138adc0abc4e39-65x65.jpeg,Cornell University,United States,122,121255,419
42,26,David E. Culler,https://s.research.com/images/535d3909dbd6b100c9e5f97e579b1f5ea227a30e-65x65.jpeg,University of California,Berkeley,122,104650,334
43,27,Richard Szeliski,https://s.research.com/images/eea998d7614c544524756cb6e3e7b630e2a77a59-65x65.png,University of Washington,United States,122,92694,286
44,28,Shih-Fu Chang,https://s.research.com/images/6cb1e330a8f5553261feb3ee1959c8b801b9a232-65x65.jpeg,Columbia University,United States,121,56262,601
45,29,Dan Boneh,https://s.research.com/images/ee88b4be7f20a9d815256106bd5457c460306456-65x65.jpeg,Stanford University,United States,121,93383,282
46,30,Shree K. Nayar,https://s.research.com/images/76cadb621cb16db7663007d6876208972272d9ec-65x65.jpeg,Columbia University,United States,121,56125,311
47,5,David Zhang,https://s.research.com/images/cf1fc77f0cf052d10681d17b8685488a3bc1ebbd-65x65.jpeg,Chinese University of Hong Kong,Shenzhen,121,65837,749
48,31,Mario Gerla,https://s.research.com/images/a8c2acaedf884b5e023a3a4889491cab3e2753ac-65x65.jpeg,University of California,Los Angeles,121,70588,875
49,32,Hari Balakrishnan,https://s.research.com/images/06ffc7e8aa355f4768b82dee15a106e4e855264e-65x65.jpeg,MIT,United States,121,143423,258
50,33,Tomaso Poggio,https://s.research.com/images/089e61e0eb38f5d872a9026cd432d50d942da718-65x65.jpeg,MIT,United States,120,89939,403
51,34,William T. Freeman,https://s.research.com/images/326317bdf18dc7d542cd868359a49dfccfb0e6d0-65x65.jpeg,MIT,United States,120,82219,316
52,4,Wil M. P. van der Aalst,https://s.research.com/images/fe632259056863c6fa380c782501f67bd4a145a7-65x65.jpeg,RWTH Aachen University,Germany,119,64591,567
53,6,Qiang Yang,https://s.research.com/images/6856b85aba961817f0eece572a5e7feb8c189c00-65x65.jpeg,Hong Kong University of Science and Technology,China,119,79998,741
54,35,John A. Stankovic,https://s.research.com/images/1590827f1bb021b0265afa90333c39ce27468d7e-65x65.jpeg,University of Virginia,United States,119,62351,444
55,36,Pieter Abbeel,https://s.research.com/images/c38e4529bb7e8f2b643521fa50cbcf72c99705a4-65x65.png,University of California,Berkeley,118,63202,326
56,37,Huan Liu,https://s.research.com/images/4026325414f2d277a2fea29493953049cc3a5793-65x65.jpeg,Arizona State University,United States,118,69883,566
57,38,Mubarak Shah,https://s.research.com/images/28796efa4d47a629dd516fca58a6a2d6a9cef8ae-65x65.jpeg,University of Central Florida,United States,118,68197,487
58,3,Witold Pedrycz,https://s.research.com/images/8f26754a6e28c7d64ac0734a09fddc5e4185a076-65x65.jpeg,University of Alberta,Canada,117,68295,1584
59,39,Ben Shneiderman,https://s.research.com/images/3b6d2242c89dcf449d721510bcee3f2c40f8e766-65x65.jpeg,University of Maryland,College Park,117,89709,524
60,5,Wolfram Burgard,https://s.research.com/images/2a1bc099402e595a15a1067ac9a1634774d7db43-65x65.jpeg,University of Freiburg,Germany,117,71834,539
61,40,Andrew Y. Ng,https://s.research.com/images/655f85eed1748af3047cf38b888d8ed115f32763-65x65.jpeg,Stanford University,United States,116,161764,241
62,7,Dinggang Shen,https://s.research.com/images/ef97d4d3301452c25b5d121e6a1bf7b131f94952-65x65.jpeg,ShanghaiTech University,China,116,52645,1140
63,1,Athanasios V. Vasilakos,https://s.research.com/images/2a6ad9cd2162fb88c5145e0074ad7b2310aab3e3-65x65.jpeg,Luleå University of Technology,Sweden,116,43307,533
64,41,Sergey Levine,https://s.research.com/images/8cdcafd81b87b9dac22501a46cab3fc92c7ad06f-65x65.png,University of California,Berkeley,116,59392,375
65,42,Randy H. Katz,https://s.research.com/images/e79b04674c41d6969112e272a5c13d777d11612b-65x65.jpeg,University of California,Berkeley,116,82451,355
66,4,Gilbert Laporte,https://s.research.com/images/1dcedca4a33bcd95e0e99342ef0a935354784c06-65x65.jpeg,HEC Montréal,Canada,115,58502,411
67,43,Georgios B. Giannakis,https://s.research.com/images/fb46443c7e68bdf4b968b19cae6356b6e8aae726-65x65.jpeg,University of Minnesota,United States,115,53057,757
68,6,Hans-Peter Seidel,https://s.research.com/images/601791e226ded01acf88064bd14ef9366c485706-65x65.jpeg,Max Planck Institute for Informatics,Germany,115,46765,766
69,1,Noga Alon,https://s.research.com/images/900680ff8ea06389d1fc996bf3d5e59fcac1119e-65x65.jpeg,Tel Aviv University,Israel,115,52521,665
70,44,Antonio Torralba,https://s.research.com/images/f095ecfaca3d8a3c4c214239c85cbcdf45b3f6d2-65x65.jpeg,MIT,United States,115,81259,274
71,8,Yi Yang,https://s.research.com/images/5bf4c1757f0dc3c46224273f101644bc387488f5-65x65.jpeg,Zhejiang University,China,114,49821,591
72,2,U. Rajendra Acharya,https://s.research.com/images/6d65bc5dc3cf66dc869417454a074bd235b100c6-65x65.jpeg,Ngee Ann Polytechnic,Singapore,114,49797,698
73,5,Xuemin Shen,https://s.research.com/images/9147c02e3d2f052d8b0a2c15d8a0400ed15c7003-65x65.jpeg,University of Waterloo,Canada,114,48891,921
74,45,Li Fei-Fei,https://s.research.com/images/9d69f430e92b98f2ddda10d21532406c0201079f-65x65.jpeg,Stanford University,United States,114,150174,288
75,9,Xuelong Li,https://s.research.com/images/fd4a5d63090351649c0c4cf59a4294839fcc0b6a-65x65.jpeg,Northwestern Polytechnical University,China,114,47897,843
76,46,Yann LeCun,https://s.research.com/images/5c0738834ea07cf4112873ab32cb3501c4ac0af6-65x65.jpeg,Facebook (United States),United States,113,245103,264
77,2,Martin Vetterli,https://s.research.com/images/640eab9748ff1afbd28cc392855691856029d773-65x65.jpeg,École Polytechnique Fédérale de Lausanne,Switzerland,112,73251,556
78,47,Alan L. Yuille,https://s.research.com/images/2b128f77d826f6ea7f9353d7fa152ec2004d8e0b-65x65.jpeg,Johns Hopkins University,United States,111,71897,507
79,48,Dieter Fox,https://s.research.com/images/414ccd6f6fbe42e25c939c387cb6363c0652b8fd-65x65.jpeg,University of Washington,United States,111,58948,245
80,49,Robert E. Tarjan,https://s.research.com/images/52a43795151783e5c00546845a564102d1995c17-65x65.png,Princeton University,United States,111,83477,317
81,50,Amit P. Sheth,https://s.research.com/images/ab8f667fd461311ab8872438a192d34800e5dd78-65x65.jpeg,University of South Carolina,United States,111,47049,581
82,51,Sushil Jajodia,https://s.research.com/images/a4d52abb84d9ea73af352476e37aa0b442c00c1e-65x65.jpeg,George Mason University,United States,111,45475,576
83,52,Charu C. Aggarwal,https://s.research.com/images/e9ca03f0158a96c6f6a21dce3dc36b0838d9eff4-65x65.png,IBM (United States),United States,111,61577,511
84,53,Larry S. Davis,https://s.research.com/images/288ef6347d1f4c86c68ceead4c2c4d7b97d92dd3-65x65.jpeg,University of Maryland,College Park,111,61610,566
85,54,Daphne Koller,https://s.research.com/images/f4c949ab56621082c4ca2bce64ccb3afdbfe6d68-65x65.jpeg,Stanford University,United States,110,52127,226
86,55,Ian F. Akyildiz,https://s.research.com/images/7191b523b8868133e38ff3b5508eb92637c3fa9a-65x65.jpeg,Truva,Inc,110,87190,420
87,56,Alexander J. Smola,https://s.research.com/images/f80a8f23b913b08c81900a781197d09dfdf01357-65x65.jpeg,Amazon (United States),United States,110,121042,290
88,57,Ronald R. Yager,https://s.research.com/images/5a14639eddfac1b5e08405ea0463919609392134-65x65.jpeg,Iona College,United States,110,60520,620
89,58,MengChu Zhou,https://s.research.com/images/1a8a222e0f7a9771dd6fc8120e4125729dec0fa5-65x65.jpeg,New Jersey Institute of Technology,United States,110,40263,866
90,59,Heung-Yeung Shum,https://s.research.com/images/c90221bc766498f0b93cdd1283e94b7c784d4a0d-65x65.jpeg,Microsoft (United States),United States,110,51348,370
91,60,Jennifer Rexford,https://s.research.com/images/2306f1613664e0da2d6e8c1a9e8ed130350f31ca-65x65.jpeg,Princeton University,United States,110,57554,325
92,10,Zhi-Hua Zhou,https://s.research.com/images/135fd024216cbc9ba13b9dce6db19bb84b0525f4-65x65.jpeg,Nanjing University,China,110,63021,445
93,61,Vince D. Calhoun,https://s.research.com/images/840e3d556e332511e61d30a18159383e50e6bf5f-65x65.jpeg,Georgia State University,United States,109,44032,695
94,62,Christos H. Papadimitriou,https://s.research.com/images/16e9bdfee66feaee1b9ca74c0e94d63e4eeed3b7-65x65.jpeg,Columbia University,United States,109,67292,280
95,64,Martial Hebert,https://s.research.com/images/cb7715f36b53d3dcef489e318d31ae79fce6f533-65x65.jpeg,Carnegie Mellon University,United States,109,48352,408
96,63,Andrew McCallum,https://s.research.com/images/3012a4308c56231e37d3b1757d3cdcb7ff6b87b3-65x65.jpeg,University of Massachusetts Amherst,United States,109,83350,341
97,11,Wei-Ying Ma,https://s.research.com/images/6ec8f794beabaf5d3e65c77774c90f9169e768e2-65x65.jpeg,Tsinghua University,China,109,51974,412
98,65,Stephen Grossberg,https://s.research.com/images/16b29e222a1d1fa62a8e456845c34ecde6ce81da-65x65.jpeg,Boston University,United States,108,62743,324
99,2,Nicholas R. Jennings,https://s.research.com/images/3ac5b504ec1dd4d0c592d8affa4d9a2de01ff4db-65x65.jpeg,Loughborough University,United Kingdom,108,61361,458
100,66,Susan T. Dumais,https://s.research.com/images/9007add305e79cb56958386d14044ea614b529e7-65x65.jpeg,Microsoft (United States),United States,108,79245,303
101,67,Ron Kikinis,https://s.research.com/images/f6518844f8a845f7088f3f611e10c15fe8a6ac7a-65x65.jpeg,Brigham and Women's Hospital,United States,107,47039,415
102,12,Zeshui Xu,https://s.research.com/images/6857fc4420cc49fcf4174731a36ffe4930bd38de-65x65.jpeg,Sichuan University,China,107,42711,447
103,68,Kalyanmoy Deb,https://s.research.com/images/7d19bc2723c1d70b206331f9ce6557b5eb84165d-65x65.jpeg,Michigan State University,United States,107,161800,512
104,13,Xin Yao,https://s.research.com/images/2f6b369a7f558a1265ba474079c332b4adb83c42-65x65.jpeg,Southern University of Science and Technology,China,107,52505,614
105,3,Zoubin Ghahramani,https://s.research.com/images/3692f85465d385b7c66ee472ff9a5f0938184e29-65x65.jpeg,University of Cambridge,United Kingdom,107,60829,313
106,69,Kang G. Shin,https://s.research.com/images/1e4e96e02f04b3abb9243981c770e353fd1fed23-65x65.jpeg,University of Michigan–Ann Arbor,United States,107,43966,696
107,7,Michael J. Black,https://s.research.com/images/3a2809c4a7d28d84b82a129db7dda30109d2db92-65x65.jpeg,Max Planck Institute for Intelligent Systems,Germany,107,53004,293
108,4,Philip H. S. Torr,https://s.research.com/images/765214fbd228fe01143aec7471d96a4bb63ca0ab-65x65.jpeg,University of Oxford,United Kingdom,107,57909,403
109,8,Hermann Ney,https://s.research.com/images/db0492f413e9675832397d349998de80ec2daff9-65x65.jpeg,RWTH Aachen University,Germany,106,54638,823
110,1,Luca Benini,https://s.research.com/images/cf161bed6e9648e1f835d2b327cb86e14acfdea7-65x65.jpeg,University of Bologna,Italy,105,45311,991
111,1,Andrzej Cichocki,https://s.research.com/images/8bbeb511c986bb3433fdeccf7e633fc5709026f1-65x65.jpeg,Skolkovo Institute of Science and Technology,Russia,105,46251,705
112,70,Jeffrey D. Ullman,https://s.research.com/images/62651f03c35b7e813461af01eefce3b864288736-65x65.jpeg,Stanford University,United States,105,120919,283
113,14,Jian Sun,https://s.research.com/images/8a4b6f58d70844e0c4629f30f81ca4cb29cbdcdf-65x65.jpeg,Xi'an Jiaotong University,China,105,237748,264
114,71,Mihir Bellare,https://s.research.com/images/febaecb33b81fc6b6a368cc8bcd0004089e3bbf2-65x65.jpeg,University of California,San Diego,105,63606,212
115,15,Tieniu Tan,https://s.research.com/images/deb67468f52f8cd9143d5f1c76148469ef374456-65x65.jpeg,Chinese Academy of Sciences,China,105,47585,607
116,72,Alan C. Bovik,https://s.research.com/images/b6ac1e156abdb1a53f6f57eb3e9d5105a1c3076a-65x65.jpeg,The University of Texas at Austin,United States,105,115460,673
117,3,Marc Pollefeys,https://s.research.com/images/7a80ae05fbf7dda45b3a002256d04b84321e6f7b-65x65.jpeg,ETH Zurich,Switzerland,105,40623,503
118,73,Jie Wu,https://s.research.com/images/95990a33b0ab907208f336d76f7e5e41f9fc1862-65x65.jpeg,Temple University,United States,104,46514,934
119,74,Zhu Han,https://s.research.com/images/f5cb08df012da76ec267be0256bb3b94ef508390-65x65.jpeg,University of Houston,United States,104,43550,914
120,1,Thomas A. Henzinger,https://s.research.com/images/2f5eca6562e3fea5b758202fc81ad2d70e3ef103-65x65.jpeg,Institute of Science and Technology Austria,Austria,104,59374,364
121,16,Bing Liu,https://s.research.com/images/da2474ac2e9c41097a9a2bcfe7eb156922a4ca71-65x65.jpeg,Peking University,China,104,68137,326
122,17,Stan Z. Li,https://s.research.com/images/0b0bd9decace2afedf33ece4cd7023735c94149b-65x65.jpeg,Chinese Academy of Sciences,China,104,51820,441
123,76,Elisa Bertino,https://s.research.com/images/3d55a9e81fb53fcb56f3e9f8fae2d8dec9ec1751-65x65.jpeg,Purdue University West Lafayette,United States,104,43031,926
124,75,W. Bruce Croft,https://s.research.com/images/57645e10bd5290a602e92be66d9159553d3a5b13-65x65.jpeg,University of Massachusetts Amherst,United States,104,49624,356
125,77,Jure Leskovec,https://s.research.com/images/cde314d781a13f8dc85daf7412b4f4a7b2147cda-65x65.jpeg,Stanford University,United States,103,87662,270
126,9,Daniel Rueckert,https://s.research.com/images/4e594a99fdcd97198755293f8f425794c3f55b3d-65x65.jpeg,Technical University of Munich,Germany,103,56288,626
127,78,Alberto Sangiovanni-Vincentelli,https://s.research.com/images/d1e00a8dcf9de8078697a15be204028a2896ff77-65x65.jpeg,University of California,Berkeley,103,47485,609
128,79,Moshe Y. Vardi,https://s.research.com/images/941a4eb01db0788faebe1aec8d2eb66f9dcc1d32-65x65.jpeg,Rice University,United States,103,47531,464
129,80,David A. Patterson,https://s.research.com/images/14c141e0ad858e8fa5cf031ffc277833258d1a57-65x65.jpeg,University of California,Berkeley,103,102383,349
130,4,Pascal Fua,https://s.research.com/images/b4787d1a0e30ce9a17ed8c9eb23a1051697fc203-65x65.jpeg,École Polytechnique Fédérale de Lausanne,Switzerland,103,56145,468
131,81,Jennifer Widom,https://s.research.com/images/7e0872fc72b22d6a5dfc2c306e4fa70104dd540c-65x65.jpeg,Stanford University,United States,103,60665,227
132,18,Liangpei Zhang,https://s.research.com/images/ea7a67204234056c3c247d7482b507a54a381f67-65x65.jpeg,Wuhan University,China,103,37348,628
133,1,Marco Dorigo,https://s.research.com/images/7c9e5565640fb89a9dc07165998bbd73c7f278ad-65x65.jpeg,Université Libre de Bruxelles,Belgium,102,130488,408
134,82,Mani Srivastava,https://s.research.com/images/09002dff54e433dd2913f24d886b34227a3998ef-65x65.jpeg,University of California,Los Angeles,102,52082,421
135,83,Bernd Girod,https://s.research.com/images/1ad7d89c36d3efc473411a5db6a62aa62d55487b-65x65.jpeg,Stanford University,United States,102,38994,530
136,2,Didier Dubois,https://s.research.com/images/624c73ccd8e178dc63a1b4bfd06b3f15b01d70b0-65x65.jpeg,Centre national de la recherche scientifique,CNRS,101,57201,443
137,84,Richard G. Baraniuk,https://s.research.com/images/5319fb0d44410c5ae0df9e1f1b1f2ff717d124ab-65x65.jpeg,Rice University,United States,101,59007,490
138,5,Michael Unser,https://s.research.com/images/b72a02b38a10b2a7c26c938b0cca693d0da78b5f-65x65.jpeg,École Polytechnique Fédérale de Lausanne,Switzerland,100,51345,597
139,6,Onur Mutlu,https://s.research.com/images/51f0c55e148b4b7e7dbe0a342dc93c3eed82b451-65x65.jpeg,ETH Zurich,Switzerland,100,33935,394
140,85,Jason Weston,https://s.research.com/images/435a4f74f7d8bf83330a8fb29821b947449b692e-65x65.jpeg,Facebook (United States),United States,100,87579,237
141,86,Vern Paxson,https://s.research.com/images/8870be09e9970f3de04641da4131a96309d8cd5c-65x65.jpeg,University of California,Berkeley,100,68822,227
142,87,Lixia Zhang,https://s.research.com/images/0fe1d0b8d00388754cddedae0a2dde96514d87d6-65x65.png,University of California,Los Angeles,100,71145,312
143,3,Henri Prade,https://s.research.com/images/6b6616deb7895c053e0d563fa15610878f21a793-65x65.png,Paul Sabatier University,France,99,60073,601
144,88,David E. Goldberg,https://s.research.com/images/b88cb579d3df346f3709774b80171ea1e42d402b-48x48.jpeg,Big Beacon,United States,99,280036,335
145,7,Roland Siegwart,https://s.research.com/images/cafca6937b809c53184087514b6e2864affe8483-65x65.jpeg,ETH Zurich,Switzerland,99,47228,639
146,4,Nicholas Ayache,https://s.research.com/images/7e334dd9d4f321a075ba19f38ce1223ef57e8e25-65x65.jpeg,French Institute for Research in Computer Science and Automation - INRIA,France,99,41517,410
147,8,Jürgen Schmidhuber,https://s.research.com/images/96e4b43d2ee095eb092bd99d028336c306774054-65x65.jpeg,Dalle Molle Institute for Artificial Intelligence Research,Switzerland,99,150352,395
148,89,Michael J. Franklin,https://s.research.com/images/6322c6cc5e4fd242d2fe5b53fd81d65a75ad69e8-65x65.jpeg,University of Chicago,United States,99,65446,280
149,19,Wen Gao,https://s.research.com/images/022a2833aee75863bf001c6199b2e56e1e73c3af-65x65.jpeg,Peking University,China,99,38575,1119
150,90,Samuel Madden,https://s.research.com/images/b58f0c96dc047c208a482820f83682365d420038-65x65.jpeg,MIT,United States,99,59412,297
151,91,Jon Kleinberg,https://s.research.com/images/f4011086feee261c6bf976671858aa2309c28f66-65x65.jpeg,Cornell University,United States,98,103639,228
152,92,Hojjat Adeli,https://s.research.com/images/a7c5d70eb284bcc634e1952540f805794b1d6cac-65x65.jpeg,The Ohio State University,United States,98,28854,322
153,1,Max A. Viergever,https://s.research.com/images/81dd4fc7a6692453d4270f9f6bd474de2cf78393-65x65.jpeg,Utrecht University,Netherlands,98,52957,431
154,94,Guillermo Sapiro,https://s.research.com/images/554c13ec83de1de520620fd3c5cc0244af34f720-65x65.jpeg,Duke University,United States,98,68003,446
155,93,Pietro Perona,https://s.research.com/images/5fa39f35eb304be36a03617dcfa6d9686690cd17-65x65.jpeg,California Institute of Technology,United States,98,109097,314
156,95,Kishor S. Trivedi,https://s.research.com/images/3a31d1ccc32c0b7b76abe7dee4d399cf0afb14a5-65x65.jpeg,Duke University,United States,98,38297,498
157,2,Micha Sharir,https://s.research.com/images/1210732e6a58ea6d7a2a01c081455e7e0b5b6847-65x65.jpeg,Tel Aviv University,Israel,98,36277,488
158,96,Imran Chaudhri,https://s.research.com/images/3ef38d4f8338066d4791bd4044bca0e35a7c5f35-65x65.jpeg,Apple (United States),United States,98,42373,206
159,20,Michael R. Lyu,https://s.research.com/images/107e578f1e6d72b69221353f285376607eb79c51-65x65.jpeg,Chinese University of Hong Kong,China,98,36065,547
160,99,Michael Stonebraker,https://s.research.com/images/efbbeafe5b25c79e92d64f932ddb97efc59089ff-65x65.gif,MIT,United States,98,48963,333
161,98,Tim Finin,https://s.research.com/images/49745edf0a51c611c5075ccf5b94ba7c65693f56-65x65.jpeg,University of Maryland,Baltimore County,98,45357,449
162,97,Li Deng,https://s.research.com/images/b0ca6d67e9dc74eaa0cedca734cc959eda345b1d-65x65.jpeg,Citadel,United States,98,63139,494
163,5,Zidong Wang,https://s.research.com/images/58bbd9d83bb85b8f54ba35d0fe80c27bec77ee68-65x65.jpeg,Brunel University London,United Kingdom,97,28651,434
164,6,Andrew Blake,https://s.research.com/images/caae701cdde1ad30f6ff11a3dc491648f66af708-65x65.jpeg,The Alan Turing Institute,United Kingdom,97,74514,223
165,2,Enrique Herrera-Viedma,https://s.research.com/images/b3727636df792f7ff00a777fcd751b1d402b5e15-65x65.jpeg,University of Granada,Spain,97,35422,462
166,100,Vipin Kumar,https://s.research.com/images/11601ff87b746251156c9859e25be5d18ac063a7-65x65.png,University of Minnesota,United States,97,73268,383
167,3,Amir Pnueli,https://s.research.com/images/e1c28d7c5f549bac9f0a0bbd09dbbeec3c934fce-65x65.jpeg,Weizmann Institute of Science,Israel,97,52038,270
168,6,Victor C. M. Leung,https://s.research.com/images/930b3ecce5845e558afae40ca988a09fed35c540-65x65.jpeg,Shenzhen University,China,97,37298,1139
169,101,Hsinchun Chen,https://s.research.com/images/a569b4f5bd93754fb14c2d5fb3566383f9f0251c-65x65.jpeg,University of Arizona,United States,97,42021,575
170,7,Steffen Staab,https://s.research.com/images/d85dc77b4c5e315a2fe72e28f4de16da4edcef79-65x65.jpeg,University of Southampton,United Kingdom,97,37418,415
171,102,Srinivas Devadas,https://s.research.com/images/53cc044c7884dedc7aa341c3f2efb39ab9f28acc-65x65.jpeg,MIT,United States,97,35634,350
172,7,Raquel Urtasun,https://s.research.com/images/0a4e7aa481b4ace0fe4805d83aa232a023032836-65x65.jpeg,University of Toronto,Canada,97,45522,287
173,10,Hans-Peter Kriegel,https://s.research.com/images/fc2d01a3dccd2457fe291b5b5c91bcce8bf10dc6-65x65.jpeg,Ludwig-Maximilians-Universität München,Germany,97,83267,373
174,8,Shaogang Gong,https://s.research.com/images/11ef632eb06f8915a5373d5129e1f0384daac388-65x65.jpeg,Queen Mary University of London,United Kingdom,97,34309,345
175,21,Qi Tian,https://s.research.com/images/01d703c0b6d08f8b70947099ff2c1a491e42c246-65x65.jpeg,Huawei Technologies (China),China,97,40843,830
